dose,t_d,n_rep,mean_infected,viability
5,0,10,883.0,False
5,30,10,808.1,False
5,60,10,657.5,True
5,90,10,468.2,True
5,120,10,320.7,True
5,150,10,255.3,True
5,180,10,252.2,True
5,210,10,324.6,True
5,240,10,497.7,True
5,270,10,689.7,True
5,300,10,835.1,False
5,330,10,887.3,False
5,360,10,886.7,False
10,0,10,837.7,False
10,30,10,735.7,False
10,60,10,559.3,True
10,90,10,376.1,True
10,120,10,258.8,True
10,150,10,215.3,True
10,180,10,228.5,True
10,210,10,305.4,True
10,240,10,467.1,True
10,270,10,679.1,True
10,300,10,820.1,False
10,330,10,866.0,False
10,360,10,851.1,False
15,0,10,805.2,False
15,30,10,683.9,True
15,60,10,497.8,True
15,90,10,324.7,True
15,120,10,228.0,True
15,150,10,201.9,True
15,180,10,215.2,True
15,210,10,290.4,True
15,240,10,463.6,True
15,270,10,674.7,True
15,300,10,802.9,False
15,330,10,851.9,False
15,360,10,817.6,False
20,0,10,777.1,False
20,30,10,643.8,True
20,60,10,448.1,True
20,90,10,293.4,True
20,120,10,210.0,True
20,150,10,187.7,True
20,180,10,204.2,True
20,210,10,281.6,True
20,240,10,456.7,True
20,270,10,661.6,True
20,300,10,797.3,False
20,330,10,831.6,False
20,360,10,794.4,False
25,0,10,756.9,False
25,30,10,612.0,True
25,60,10,417.1,True
25,90,10,268.7,True
25,120,10,199.9,True
25,150,10,176.4,True
25,180,10,196.6,True
25,210,10,279.4,True
25,240,10,448.7,True
25,270,10,653.4,True
25,300,10,781.4,False
25,330,10,815.7,False
25,360,10,774.1,False
30,0,10,733.7,False
30,30,10,583.2,True
30,60,10,392.0,True
30,90,10,247.8,True
30,120,10,186.6,True
30,150,10,172.9,True
30,180,10,190.6,True
30,210,10,270.5,True
30,240,10,442.4,True
30,270,10,646.3,True
30,300,10,772.1,False
30,330,10,808.6,False
30,360,10,754.2,False
35,0,10,714.7,True
35,30,10,561.4,True
35,60,10,371.5,True
35,90,10,235.9,True
35,120,10,178.0,True
35,150,10,165.5,True
35,180,10,184.2,True
35,210,10,264.5,True
35,240,10,432.5,True
35,270,10,633.1,True
35,300,10,758.9,False
35,330,10,795.3,False
35,360,10,731.1,False
40,0,10,697.7,True
40,30,10,535.7,True
40,60,10,356.3,True
40,90,10,225.9,True
40,120,10,170.6,True
40,150,10,160.5,True
40,180,10,180.5,True
40,210,10,258.1,True
40,240,10,426.2,True
40,270,10,627.3,True
40,300,10,741.4,False
40,330,10,778.1,False
40,360,10,710.3,True
45,0,10,670.5,True
45,30,10,507.2,True
45,60,10,338.6,True
45,90,10,217.0,True
45,120,10,164.3,True
45,150,10,154.0,True
45,180,10,176.5,True
45,210,10,253.0,True
45,240,10,416.5,True
45,270,10,617.1,True
45,300,10,741.7,False
45,330,10,763.3,False
45,360,10,690.6,True
